one two three
1.164 1.185 1.596
0.308 0.424 0.558
0.003 0.004 0.004
0.147 0.213 0.300
0.007 0.007 0.008
0.008 0.009 0.010
0.301 0.411 0.542
0.632 0.806 0.993
0.075 0.117 0.172
0.083 0.125 0.184
0.019 0.023 0.030
0.010 0.010 0.012
1.410 1.645 1.893
3.338 3.367 3.905
0.004 0.005 0.005
1.537 1.560 2.003
2.046 2.308 2.578
1.069 1.292 1.520
0.398 0.534 0.686
1.723 1.747 2.210
0.102 0.155 0.223
2.327 2.354 2.848
0.482 0.633 0.798
0.113 0.170 0.242
0.060 0.063 0.133
0.013 0.015 0.017
0.009 0.009 0.011
0.262 0.362 0.484
0.105 0.109 0.217
0.111 0.167 0.239
0.516 0.530 0.819
0.016 0.019 0.023
1.603 1.627 2.081
0.780 0.964 1.168
1.305 1.545 1.787
2.995 3.023 3.549
11.12 11.34 11.54
12.26 12.28 12.64
13.50 13.70 13.91
15.14 15.35 15.55
14.75 14.96 15.17
15.61 15.63 16.00
7.876 8.173 8.448
16.36 16.58 16.80
18.57 18.59 19.12
18.99 19.30 19.62
20.1 20.9 21.3
18.47 18.89 19.28
18.99 19.63 19.96
18.44 19.03 19.34
21.2 21.2 21.6
19.61 19.78 20.3
16.67 16.69 16.87
19.96 20.8 21.1
20.4 20.4 20.7
19.80 20.2 20.6
20.3 20.6 21.0
18.85 19.15 19.47
20.2 20.3 20.9
20.4 20.4 21.1
18.83 18.86 19.41
18.35 18.37 18.88
17.89 17.91 18.39
15.53 15.74 15.95
13.92 13.94 14.31
12.01 12.21 12.41
4.436 4.773 5.099
5.149 5.494 5.825
5.787 6.132 6.459
5.343 5.688 6.018
7.560 7.868 8.153
3.249 3.556 3.859
6.523 6.555 7.131
5.938 6.267 6.592
5.319 5.649 5.980
5.232 5.562 5.893
7.576 7.606 8.125
4.366 4.687 5.013
5.499 6.031 6.260
0.129 0.238 0.332
0.014 0.014 0.017
0.005 0.005 0.006
5.362 5.826 6.056
6.785 7.413 7.713
8.032 8.203 8.633
7.117 7.179 7.449
6.807 6.839 7.280
6.001 6.462 6.654
5.549 6.028 6.190
0.008 0.008 0.009
0.040 0.092 0.138
1.238 1.628 1.862
3.691 4.095 4.440
6.546 6.816 7.219
6.756 7.086 7.471
0.013 0.015 0.017
0.528 0.709 0.839
5.048 5.104 5.732
2.663 2.941 3.225
7.023 7.447 7.683
7.207 7.525 7.803
7.464 7.877 8.162
7.353 7.667 7.958
5.846 6.190 6.517
3.992 4.023 4.590
0.116 0.174 0.248
0.080 0.084 0.171
2.328 2.598 2.874
2.080 2.355 2.625
0.010 0.010 0.013
0.182 0.188 0.346
2.369 2.395 2.892
0.243 0.252 0.442
1.234 1.256 1.675
0.011 0.011 0.014
5.229 5.560 5.891
6.418 6.450 7.023
5.031 5.360 5.691
5.652 5.997 6.325
5.636 5.669 6.267
2.848 2.876 3.395
0.005 0.006 0.007
0.080 0.124 0.181
0.517 0.531 0.817
0.767 0.785 1.133
0.040 0.058 0.089
4.394 4.715 5.041
0.929 1.129 1.346
4.567 4.905 5.233
2.058 2.332 2.602
0.807 1.002 1.209
2.544 2.831 3.113
0.620 0.792 0.977
7.014 7.324 7.626
6.209 6.242 6.821
6.630 6.662 7.234
8.211 8.239 8.720
6.974 7.005 7.556
0.845 0.864 1.223
0.021 0.027 0.037
0.114 0.172 0.245
2.908 3.191 3.483
3.139 3.429 3.728
2.557 3.029 3.213
0.817 0.828 0.994
6.490 7.049 7.398
4.086 4.245 4.751
6.535 6.567 6.824
7.681 7.711 7.944
3.817 4.447 4.770
6.639 7.288 7.591
6.220 6.252 6.513
6.964 7.275 7.579
0.008 0.009 0.010
0.839 0.858 1.215
0.028 0.039 0.058
2.146 2.172 2.659
0.010 0.011 0.013
0.850 1.041 1.251
1.167 1.397 1.631
3.343 3.372 3.917
3.160 3.464 3.764
2.219 2.245 2.735
1.676 1.925 2.183
2.915 2.942 3.464
0.620 0.792 0.978
2.501 2.775 3.055
9.478 9.724 9.953
9.780 10.03 10.25
10.24 10.46 10.67
11.47 11.49 11.85
10.82 10.84 11.21
11.30 11.32 11.68
9.316 9.340 9.769
5.121 5.154 5.753
6.000 6.344 6.668
10.26 10.47 10.69
10.13 10.16 10.55
9.719 9.949 10.18
9.131 9.376 9.614
9.178 9.203 9.638
4.346 4.667 4.993
1.443 1.691 1.940
0.009 0.009 0.011
7.056 7.365 7.666
3.854 4.179 4.496
7.003 7.328 7.629
6.694 7.026 7.336
7.916 8.212 8.485
4.863 4.896 5.485
6.797 7.112 7.420
7.033 7.065 7.612
7.159 7.190 7.731
4.953 4.985 5.583
7.397 7.697 7.988
5.522 5.853 6.183
6.799 6.831 7.389
6.595 6.915 7.228
5.376 5.925 6.264
2.598 2.946 3.239
0.035 0.056 0.080
0.385 0.620 0.779
2.175 2.729 3.008
1.802 1.827 2.098
